origin_region,destination_region,carrier,distance_km,order_hour,weekday,priority,historical_delay_rate
north,west,carrier_b,605.5,5,5,standard,0.1659
west,central,carrier_b,456.9,14,6,standard,0.2085
north,north,carrier_b,798.2,1,2,standard,0.1558
east,west,carrier_b,1056.3,0,2,standard,0.141
west,south,carrier_c,533.1,8,3,express,0.1999
central,east,carrier_d,527.0,22,6,standard,0.2829
central,east,carrier_a,665.7,23,0,standard,0.103
south,central,carrier_c,738.4,11,0,standard,0.2055
north,central,carrier_c,438.3,3,0,standard,0.2257
north,south,carrier_c,2030.2,18,6,express,0.2225
central,west,carrier_b,1340.3,23,6,standard,0.108
east,north,carrier_a,686.2,18,2,critical,0.1142
west,east,carrier_c,2013.8,15,1,standard,0.1682
west,south,carrier_c,1038.5,20,6,standard,0.2751
central,south,carrier_d,335.1,11,4,standard,0.2598
east,north,carrier_b,891.4,7,6,standard,0.1217
central,west,carrier_c,1212.8,13,6,express,0.2963
central,central,carrier_b,2676.2,23,6,standard,0.1999
north,west,carrier_b,734.7,1,0,standard,0.1462
south,east,carrier_c,1601.7,21,4,express,0.1895
north,central,carrier_b,1022.0,2,3,standard,0.0756
south,south,carrier_b,625.3,22,4,standard,0.2018
east,west,carrier_c,1890.6,21,1,express,0.211
west,north,carrier_c,653.7,11,2,standard,0.2721
east,central,carrier_c,291.4,20,2,standard,0.2221
north,central,carrier_c,401.8,11,2,standard,0.1915
south,central,carrier_a,2112.7,17,0,standard,0.0512
south,south,carrier_b,1310.3,4,5,standard,0.1583
central,south,carrier_d,465.3,7,4,express,0.2287
east,central,carrier_c,1838.6,2,0,standard,0.1914
north,east,carrier_b,937.2,18,2,express,0.2097
south,north,carrier_d,189.9,17,4,express,0.2518
east,north,carrier_a,571.3,12,4,standard,0.0515
central,north,carrier_d,1275.3,14,5,express,0.3389
south,north,carrier_b,888.3,16,4,standard,0.1239
east,south,carrier_b,2971.8,5,6,standard,0.2154
north,north,carrier_a,1349.5,9,1,express,0.0673
south,west,carrier_a,1281.8,5,2,standard,0.1737
west,central,carrier_b,558.8,13,5,standard,0.1495
east,east,carrier_b,701.0,18,6,standard,0.1952
