order_id,order_date,customer_id,product,quantity,unit_price,status
O-1001,2026-09-01,C-001,Laptop Stand,1,45.0,SHIPPED
O-1002,2026-09-01,C-002,USB-C Hub,2,32.5,SHIPPED
O-1003,2026-09-02,C-001,Keyboard,1,75.0,PROCESSING
O-1004,2026-09-02,C-003,Webcam,1,80.0,DELIVERED
O-1005,2026-09-03,C-004,Headset,2,55.0,PROCESSING
O-1006,2026-09-03,C-002,Mouse,1,28.0,DELIVERED
O-1007,2026-09-04,C-003,USB-C Hub,1,32.5,SHIPPED
O-1008,2026-09-04,C-005,Monitor Arm,1,120.0,PROCESSING
O-1009,2026-09-05,C-001,Mouse Pad,3,15.0,DELIVERED
O-1010,2026-09-05,C-004,Keyboard,1,75.0,SHIPPED
